val_losses,val_accuracies,val_precisions,val_recalls,val_f1_scores,val_mccs,val_sdrs,best_epoch
1.222401092449824,50.0,0.25,0.5,0.3333333333333333,0.0,19.104067,7
0.9942371845245361,76.08695652173913,0.8191244239631337,0.7608695652173914,0.7587587587587585,0.5711395779811923,5.8528194,7
0.9498602449893951,82.6086956521739,0.8498985801217038,0.8260869565217391,0.823076923076923,0.6755660236665675,8.054995,7
0.9267704983552297,80.43478260869566,0.8354166666666667,0.8043478260869565,0.7997097242380262,0.6390096504226939,9.462233,7
0.879162609577179,86.95652173913044,0.8810916179337233,0.8695652173913043,0.8685714285714287,0.7505683356701914,10.348434,7
0.8535139063994089,91.30434782608695,0.9161904761904762,0.9130434782608695,0.9128787878787877,0.829227982896771,12.502708,7
0.8824148376782736,84.78260869565217,0.8833333333333333,0.8478260869565217,0.8442186744073538,0.7302967433402215,9.2174425,7
0.8273132145404816,93.47826086956522,0.9423076923076923,0.9347826086956522,0.9345040341718082,0.8770580193070292,14.013554,7
0.8366493582725525,89.1304347826087,0.8980769230769231,0.8913043478260869,0.8908400569530138,0.7893522173763263,15.350993,7
0.8339125613371531,93.47826086956522,0.9356060606060607,0.9347826086956522,0.9347517730496453,0.8703882797784891,13.264981,7
0.8585056165854136,89.1304347826087,0.8920454545454545,0.8913043478260869,0.8912529550827424,0.7833494518006402,14.39798,7
0.8898028830687205,86.95652173913044,0.8965517241379309,0.8695652173913043,0.8673076923076924,0.7656414934887765,13.394776,7
0.8190704186757406,93.47826086956522,0.9356060606060607,0.9347826086956522,0.9347517730496453,0.8703882797784891,16.629984,7
0.8886393308639526,84.78260869565217,0.8538461538461538,0.8478260869565217,0.8471760797342194,0.7016464154456235,9.63454,7
0.8626996179421743,89.1304347826087,0.8980769230769231,0.8913043478260869,0.8908400569530138,0.7893522173763263,10.366569,7
0.8735576371351877,89.1304347826087,0.9107142857142856,0.8913043478260869,0.8900047824007653,0.8017837257372732,17.85607,7
0.8621610601743063,84.78260869565217,0.8538461538461538,0.8478260869565217,0.8471760797342194,0.7016464154456235,14.934387,7
0.8756801883379618,84.78260869565217,0.8538461538461538,0.8478260869565217,0.8471760797342194,0.7016464154456235,11.737597,7
