val_losses,val_accuracies,val_precisions,val_recalls,val_f1_scores,val_mccs,val_sdrs,best_epoch
0.9568635920683543,82.6086956521739,0.8709677419354839,0.8260869565217391,0.8206627680311891,0.6956083436402525,7.9648266,3
0.8963808218638102,86.95652173913044,0.8810916179337233,0.8695652173913043,0.8685714285714287,0.7505683356701914,7.343519,3
0.8427129288514456,89.1304347826087,0.8920454545454545,0.8913043478260869,0.8912529550827424,0.7833494518006402,17.668587,3
0.8543580075105032,93.47826086956522,0.9423076923076923,0.9347826086956522,0.9345040341718082,0.8770580193070292,9.798344,3
0.889830489953359,86.95652173913044,0.8723809523809524,0.8695652173913043,0.8693181818181818,0.741940826802374,13.056831,3
0.8597795963287354,89.1304347826087,0.8920454545454545,0.8913043478260869,0.8912529550827424,0.7833494518006402,17.957766,3
0.8378975490729014,89.1304347826087,0.8920454545454545,0.8913043478260869,0.8912529550827424,0.7833494518006402,15.305953,3
0.846539189418157,89.1304347826087,0.9107142857142856,0.8913043478260869,0.8900047824007653,0.8017837257372732,12.937572,3
0.8496379653612772,89.1304347826087,0.8920454545454545,0.8913043478260869,0.8912529550827424,0.7833494518006402,20.766596,3
0.8111694355805715,93.47826086956522,0.9356060606060607,0.9347826086956522,0.9347517730496453,0.8703882797784891,20.687586,3
0.8526636759440104,86.95652173913044,0.8723809523809524,0.8695652173913043,0.8693181818181818,0.741940826802374,19.999672,3
0.870236466328303,86.95652173913044,0.8723809523809524,0.8695652173913043,0.8693181818181818,0.741940826802374,24.11937,3
0.8869857986768087,84.78260869565217,0.865079365079365,0.8478260869565217,0.8460066953610712,0.7126966450997985,12.090789,3
0.8263095517953237,91.30434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8260869565217391,20.820406,3
