;val_losses;val_accuracies;val_precisions;val_recalls;val_f1_scores;val_mccs;val_sdrs;number_of_parameters;best_epoch ( index start by 0)
UNet;0.8543580075105032;93.47826086956522;0.9423076923076923;0.9347826086956522;0.9345040341718082;0.8770580193070292;9.798344;34526084;3
Attention-UNet;0.8273132145404816;93.47826086956522;0.9423076923076923;0.9347826086956522;0.9345040341718082;0.8770580193070292;14.013554;34877486;7
R2UNet;1.0344936549663544;71.73913043478261;0.7785714285714285;0.717391304347826;0.720550739418664;0.48804608017886253;14.277152;39091460;9
R2Attention-UNet;0.9008669555187225;89.1304347826087;0.9107142857142856;0.8913043478260869;0.8900047824007653;0.8017837257372732;7.6266694;39442992;2
