;val_losses;val_accuracies;val_precisions;;val_recalls;;val_f1_scores;;val_mccs;best_epoch;# of model paramters 
;;;music;speech;music;speech;music;speech;;;
UNet;0.7985909084479014;95.65217391304348;0.92;1.0;1.0;0.9130434782608695;0.9583333333333334;0.9545454545454545;0.916515138991168;10;34526084
Attention-UNet;0.814480702082316;93.47826086956522;0.8846153846153846;1.0;1.0;0.8695652173913043;0.9387755102040816;0.9302325581395349;0.8770580193070292;3;34877486
R2UNet;0.968914528687795;80.43478260869566;0.7333333333333333;0.9375;0.9565217391304348;0.6521739130434783;0.8301886792452831;0.7692307692307693;0.6390096504226939;16;39091460
R2Attention-UNet;0.9075359404087067;84.78260869565217;0.8076923076923077;0.9;0.9130434782608695;0.782608695652174;0.8571428571428572;0.8372093023255814;0.7016464154456235;6;39442992
